name_unqual,cnt
isCommutativeRing,8
⊆-go,8
symᵢ,8
strictlySurjective,7
fromVec,7
∨-isSemilattice,7
<-≤-trans,7
*-zero,7
function,7
⊔-band,7
respʳ,7
∧-isSemilattice,7
⊓-assoc,7
_DistributesOverʳ_,7
≤-irrelevant,7
/-wk,7
any?,7
⊔-assoc,7
alternativeʳ,7
group,7
reverseAcc⁺,7
⊔-isBand,7
fold,7
∧-isMagma,7
left,7
⊙-assoc,7
_∤ʳ_,7
alternativeˡ,7
⊓-sel,7
_∥_,7
⊓-isBand,7
isSelectiveMagma,7
⊓-semigroup,7
⊔-semigroup,7
⊓-monoʳ-≤,7
rawApplicative,7
decPoset,7
*-commutativeMonoid,7
⊓-isSemigroup,7
replicate⁺,7
_DistributesOverˡ_,7
⊔-isSemigroup,7
proj₁,7
monadPlus,7
⊓-isSelectiveMagma,7
left-inverse-of,7
resp₂,7
mono-≤-distrib-⊓,7
leaf,7
isOrderHomomorphism,7
_∦_,7
isStrictTotalOrder,7
satisfied,7
≤-<-trans,7
isLoopHomomorphism,7
respects₂,7
⊓-magma,7
⊓-band,7
last,7
map-weaken-⊙-sub,7
⊓-comm,7
_∤ˡ_,7
fromℕ,7
isEquivalenceᵢ,7
suc-injective,7
⊔-isCommutativeSemigroup,7
≤-poset,7
when,7
∧-isSemigroup,7
_∣ˡ_,7
++-assoc,7
respˡ,7
∧-semilattice,7
⊓-commutativeSemigroup,7
∨-isBand,7
∨-semilattice,7
⊓-monoˡ-≤,7
RightIdentity,7
proj₂,7
decTotalOrder,7
LeftIdentity,7
⊓-idem,7
⊔-magma,7
_∣ʳ_,7
isTotalPreorder,7
<-irrelevant,7
∨-isMagma,7
⊔-isMagma,7
isInvertibleUnitalMagma,7
-‿+-comm,7
proof,7
splitAt,7
isBimodule,7
⊔-idem,7
leftModule,7
↑⋆-distrib,7
⊙-wk,7
rightModule,7
right,7
≤⇒≯,7
step-≲,7
⋆-homo,7
totalOrder,7
⊓-isMagma,7
⊔-isSelectiveMagma,7
⊔-sel,7
suc-/-↑,7
sub-⊙,7
∨-isSemigroup,7
semilattice,7
⊔-triangulate,7
⊔-selectiveMagma,7
⊓-isCommutativeSemigroup,7
strictlyInverseˡ,7
sort,7
inf,7
map-weaken,7
wk-commutes,7
commutativeMagma,7
/-⊙,7
∧-isBand,7
related,7
⊓-triangulate,7
fromSum,7
⊔-commutativeSemigroup,7
*-zeroˡ,7
mono-≤-distrib-⊔,7
⊔-monoʳ-≤,7
⊔-comm,7
*-zeroʳ,7
⊓-selectiveMagma,7
*-1-rawMonoid,7
tree,7
⊔-lub,7
⊔-monoˡ-≤,7
isKleeneAlgebraHomomorphism,7
lemmas₃,7
⊔-mono-≤,7
≮⇒≥,7
weaken-↑,7
isRightInverse,7
⊓-mono-≤,7
⊓-glb,7
toℕ,6
_⁻¹,6
_DistributesOverʳ_⟶_,6
fromPair,6
_DistributesOverˡ_⟶_,6
closed,6
isMonoidIsomorphism,6
lift-conv,6
Bisim,6
union,6
∨-orderTheoreticJoinSemilattice,6
toVec,6
bimodule,6
Q,6
cons,6
step-≋,6
antisymmetric,6
map-++,6
isInjection,6
⊆-isPartialOrder,6
++-cancelʳ,6
wk-sub-vanishes,6
compat,6
inverseˡ-uniqueᴹ,6
isModule,6
min,6
+-0-rawMonoid,6
+-0-commutativeMonoid,6
*-1-monoid,6
isRightModuleIsomorphism,6
applyUpTo⁺₂,6
pred,6
family,6
++-identityʳ,6
isRingWithoutOneMonomorphism,6
context,6
+ᴹ-group,6
*-distribˡ-+,6
intersections,6
accessible,6
≋-go,6
_<⁺_,6
_⊄_,6
++-identityˡ,6
-ᴹ-involutive,6
writeFile,6
nothing,6
∷ʳ-injective,6
+-inverse,6
step,6
+ᴹ-abelianGroup,6
scanl,6
cancel,6
∨-homo,6
+-0-isCommutativeMonoid,6
+-0-isMonoid,6
unions,6
⨀→/✶,6
⊔-semilattice,6
+-rawGroup,6
⊓-isSemilattice,6
⊔-isSemilattice,6
iterate,6
∨-isOrderTheoreticMeetSemilattice,6
applyUpTo⁺₁,6
applyDownFrom⁺₂,6
Homomorphic₂,6
[^_],6
lit,6
unless,6
sub-commutes,6
+-0-monoid,6
isLatticeHomomorphism,6
fromMusical,6
next,6
lattice,6
base,6
index,6
intersection,6
joinSemilattice,6
match,6
toDiffList,6
∨-isMagmaHomomorphism,6
meetSemilattice,6
_∉?_,6
compat-abs,6
/-weaken,6
Unique,6
K&_,6
Tree,6
++-cancelˡ,6
isAbelianGroup,6
∨-∧-isOrderTheoreticLattice,6
randomRIO,6
isIdempotentMonoid,6
nearSemiringHomomorphism,6
+-isGroupIsomorphism,6
*-1-isCommutativeMonoid,6
Value,6
∨-isOrderTheoreticJoinSemilattice,6
wellFounded,6
*-distrib-+,6
Pointwise-≡↔≡,6
∧-isMagmaHomomorphism,6
semimodule,6
*-1-isMonoid,6
isGroupMonomorphism,6
applyDownFrom⁺₁,6
rawModule,6
strictlyInverseʳ,6
/-⨀,6
comonad,6
rawRingWithoutOne,6
∧-homo,6
isLeftModuleIsomorphism,6
MkValue,6
_⊃_,6
_⊂_,6
⊓-semilattice,6
max,6
isModuleHomomorphism,6
inverseʳ-uniqueᴹ,6
*-1-commutativeMonoid,6
lemmas₄,6
∨-∧-orderTheoreticLattice,6
extract,6
reindex,6
Symmetric,6
step-≋˘,6
⊆-poset,6
*-distribʳ-+,6
left-inverse,6
_¬#_,6
toPair,6
∨-orderTheoreticMeetSemilattice,6
<⇒≢,6
toMusical,6
×-assocˡ,6
just,6
∷⁻,6
⊆-antisym,6
+-isMagmaIsomorphism,6
_⊅_,6
Error,6
⌊_⌋,5
⊔-⊓-distributiveLattice,5
≋-reflexive,5
mono,5
+-monoˡ-<,5
complete,5
invertibleMagma,5
∣ʳ-respˡ-≈,5
≡⇒Pointwise-≡,5
+-*-rawNearSemiring,5
⊔-distribˡ-⊓,5
∣-respʳ-≈,5
+-monoidHomomorphism,5
isBijection,5
¬_,5
_∷₁-DisjointUnion³_,5
⁻¹-selfInverse,5
⊔-⊓-isDistributiveLattice,5
DisjointUnion-[]ˡ,5
∥-respˡ-≈,5
Identity,5
_<|>_,5
Pointwise-≡⇒≡,5
antimono-≤-distrib-⊔,5
cong₂,5
#⇒invertible,5
∦-resp-≈,5
negative,5
<-wellFounded,5
_≡⟨_⟩_,5
⊓-⊔-distributiveLattice,5
⊓-distribʳ-⊔,5
prove′,5
Kleisli,5
∣ˡ-respˡ-≈,5
^-cong,5
⊔-⊓-lattice,5
Disjoint→DisjointUnion,5
+-monoˡ-≤,5
semiMetric,5
⊔-distribʳ-⊓,5
*-magmaHomomorphism,5
_⊢_≈_,5
∤-respˡ-≈,5
join₁,5
≈-reflexive,5
_⊆?_,5
lookup⁺,5
x∣yx,5
∣ˡ-resp-≈,5
abelianGroup,5
⊓-absorbs-⊔,5
Homomorphic₁,5
_⇨_,5
duplicate,5
∧-zeroˡ,5
all?,5
antimono-≤-distrib-⊓,5
+-monoʳ-<,5
∦-respʳ-≈,5
-‿*-distribˡ,5
x∣ˡxy,5
DisjointUnion-[]ʳ,5
⊓-distribˡ-⊔,5
universal,5
DisjointUnion,5
xy≈z⇒y∣ʳz,5
Image,5
to-from,5
tabulate,5
foldr⁺,5
union³,5
Homomorphic₀,5
⊔-⊓-absorptive,5
_≲_,5
comp-correct,5
sort-↭,5
Disjoint-irrefl,5
_∷ʳ-DisjointUnion³_,5
sub³,5
isSemilattice,5
wlog,5
DisjointUnion→Disjoint,5
⊔-⊓-isLattice,5
+-inverseʳ,5
theUpperBound,5
_≈⁺_,5
⊔-absorbs-⊓,5
rawGroup,5
⊔-distrib-⊓,5
∧-zeroʳ,5
∦-respˡ-≈,5
+-mono-≤,5
list,5
sort-↗,5
join₂,5
+-mono-<-≤,5
≡-isDecEquivalence,5
isQuasiring,5
∥-resp-≈,5
∤-respʳ-≈,5
result,5
⊆-disjoint?,5
rightInverse,5
∥-sym,5
∨-zeroˡ,5
break,5
Lift,5
_∷₃-DisjointUnion³_,5
bisemimodule,5
join₃,5
isDecStrictPartialOrder,5
∷-injective,5
_⁺++_,5
invertible⇒#,5
sm-homo,5
∥-respʳ-≈,5
□,5
xy≈z⇒y∣z,5
^-assocʳ,5
_∘_,5
_∷₂-DisjointUnion³_,5
⊓-⊔-absorptive,5
cartesianProduct⁺,5
cancelʳ,5
DisjointUnion-sym,5
weakenDisjointUnion,5
isApartnessRelation,5
appLemmas,5
upperBound,5
+-inverseˡ,5
x∣ʳyx,5
^-homo-*,5
Disjoint-irrelevant,5
∣ˡ-respʳ-≈,5
∣ʳ-respʳ-≈,5
unknown,5
shrinkDisjoint,5
disjoint⇒disjoint-to-union,5
_≈?_,5
transpose,5
x≈z//y,5
Disjoint-irrefl′,5
∣-trans,5
NonZero,5
∣ʳ-resp-≈,5
⊓-⊔-isDistributiveLattice,5
filter-⊆,5
disjointUnion³,5
xy≈z⇒x∣ˡz,5
∨-zeroʳ,5
magmaHomomorphism,5
+-idem,5
deduplicate⁺,5
∦-sym,5
∧-zero,5
∣-resp-≈,5
DisjointUnion-fromAny∘toAny-∷ˡ⁻,5
Disjoint-sym,5
∣-respˡ-≈,5
isInverse,5
¬#-isEquivalence,5
+-mono-≤-<,5
+-isBand,5
weakenDisjoint,5
⊓-distrib-⊔,5
∤-resp-≈,5
^-congˡ,5
¬-cong,5
+-magmaHomomorphism,5
∷ʳ⁻,5
+-monoʳ-≤,5
isBoundedLattice,5
y≈x\\z,5
concat⁻,5
⊓-⊔-lattice,5
readFile,5
◇,5
+-*-rawSemiring,5
⊓-⊔-isLattice,5
isIdempotentSemiring,5
DisjointUnion³,5
cancelˡ,5
∨-zero,5
app,5
+-*-isRing,4
∤∤-resp-≈,4
trans⁺,4
comm∧invʳ⇒invˡ,4
\\-leftDivides,4
_#_,4
x*y≉0⇒x≉0,4
\\-isMagmaMonomorphism,4
_⟨$⟩_,4
singleton⁻,4
[u∙vw]x≈u[v∙wx],4
⊕-inverse,4
